term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.4972669807368857,0.012166742254562827,40.87100477125653,0.0,0.4734206041087609,0.5211133573650105
C(declared_band)[T.1],0.3993961293814425,0.012225477409203246,32.66916423899979,4.2828040444268657e-234,0.37543463396559607,0.4233576247972889
C(declared_band)[T.2],0.4057337604097084,0.012220040571895898,33.20232514962593,9.964995526179835e-242,0.38178292099917416,0.4296845998202426
C(declared_band)[T.3],-0.011561080434325985,0.013312066221592044,-0.8684662652574566,0.3851391322859792,-0.03765225078845859,0.014530089919806621
C(model)[T.random_forest],-0.14551234106207292,0.01313878803662073,-11.075020059422346,1.658430113816791e-28,-0.17126389241435527,-0.11976078970979057
C(split_index)[T.1],-0.027498946138259303,0.002408593118942157,-11.417015984142939,3.438377399226526e-30,-0.03221970190479693,-0.022778190371721678
C(split_index)[T.2],-0.035403881031161245,0.003085516782100461,-11.474214380081934,1.777850348384577e-30,-0.04145138279777207,-0.029356379264550418
C(split_index)[T.3],0.012065051254562361,0.0031212685938550124,3.865431920314513,0.00011089277910029297,0.00594747722453056,0.01818262528459416
C(split_index)[T.4],-0.01118931180646154,0.0025261660046748237,-4.429365206306727,9.451086156291331e-06,-0.01614050619459364,-0.006238117418329444
C(split_index)[T.5],0.025112411305215677,0.0023753832687266477,10.571940804600127,4.020860895124482e-26,0.020456745649032416,0.029768076961398937
C(split_index)[T.6],-0.01336489614541221,0.0025433482833942048,-5.254843087229955,1.4815072703660472e-07,-0.018349767181006622,-0.008380025109817796
C(split_index)[T.7],-0.008325350639296908,0.0025444896436285056,-3.2719137451173705,0.0010682216049183878,-0.013312458699843936,-0.0033382425787498796
C(split_index)[T.8],0.004136013760172013,0.002676370425268742,1.5453816561123837,0.12225397470630134,-0.00110957588264287,0.009381603402986896
C(split_index)[T.9],-0.0023978775671551302,0.002413238228308103,-0.9936348343181427,0.32040067882483825,-0.007127737580754261,0.002331982446444
C(split_index)[T.10],0.024744833177179647,0.0023972058160848337,10.322364901313906,5.583076585341941e-25,0.020046396114123424,0.02944327024023587
C(split_index)[T.11],-0.0018118668925150663,0.0024303182901356606,-0.7455265838508451,0.45595344655622905,-0.006575203212149926,0.002951469427119794
C(split_index)[T.12],-0.009507649898799625,0.0029772594704181605,-3.1934233456193395,0.0014059665974372533,-0.015342971233450013,-0.003672328564149236
C(split_index)[T.13],-0.010737986421665761,0.0025086098620432087,-4.280452924999626,1.865133380356594e-05,-0.015654771402532443,-0.0058212014407990785
C(split_index)[T.14],-0.05977394834224088,0.0026435566694079323,-22.611184785241708,3.3638774666474856e-113,-0.06495522420537109,-0.05459267247911068
C(split_index)[T.15],-0.025385161788626022,0.002691842938647396,-9.430402280967261,4.0851915212994775e-21,-0.03066107700041338,-0.020109246576838664
C(split_index)[T.16],-0.01993166034278054,0.0030478669027623824,-6.539544205396836,6.170660142568386e-11,-0.02590536970186645,-0.013957950983694628
C(split_index)[T.17],-0.026948297324473992,0.002677240047047784,-10.065700815356514,7.8327472161284e-24,-0.03219559139465597,-0.021701003254292014
C(split_index)[T.18],-0.011394972764659289,0.0028055476314547906,-4.061585922442718,4.874047270569083e-05,-0.016893745079222332,-0.005896200450096247
C(split_index)[T.19],0.018051825607200513,0.0034374570719028887,5.251505758356273,1.50860816205962e-07,0.011314533547868339,0.024789117666532686
C(split_index)[T.20],0.018353211739376082,0.003065530405395303,5.986961247252551,2.137976961042011e-09,0.012344882551288816,0.02436154092746335
C(split_index)[T.21],0.022602298527402576,0.003207292583051601,7.0471582938334425,1.826085485587528e-12,0.016316120576739,0.028888476478066152
C(split_index)[T.22],-0.011661223768241287,0.002889205094129653,-4.03613568034156,5.433879898662619e-05,-0.017323961696685063,-0.00599848583979751
