term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,-0.047077805645026116,0.014061880402347444,-3.347902577607409,0.0008142562966538192,-0.07463858478853672,-0.01951702650151552
C(customer_type)[T.Legal Entity],0.015393020913145827,0.048556067911339554,0.3170153922111764,0.7512319228922277,-0.0797751234239607,0.11056116525025236
C(customer_type)[T.Mass],0.001054339947380955,0.013180092222122566,0.07999488392131755,0.9362413249713997,-0.024778166120895763,0.026886846015657676
C(customer_type)[T.Premium],0.005793273331254674,0.013470109664998968,0.4300836055038248,0.667134825366554,-0.020607656479948194,0.03219420314245754
C(customer_type)[T.Professional],0.024728300354822524,0.016897679104050715,1.4634140110338971,0.14335412712018822,-0.008390542111431924,0.057847142821076974
C(year)[T.2019],0.17594425277955952,0.012862411006261863,13.67894811430795,1.3564066363609663e-42,0.15073439045293469,0.20115411510618436
C(year)[T.2020],0.21065330272882263,0.006128294494798009,34.373887042738446,6.193812366461135e-259,0.19864206623236344,0.22266453922528182
C(year)[T.2021],0.07542056379383193,0.005290637035592839,14.255478742245776,4.144502851219571e-46,0.0650511057487962,0.08579002183886765
C(year)[T.2022],-0.019482952401632336,0.004492199707122697,-4.337062835995638,1.4439935379088995e-05,-0.0282875020389542,-0.01067840276431047
is_coherent,0.029382053137480758,0.004009871786105325,7.327429579991313,2.3460887380104093e-13,0.021522848854091024,0.03724125742087049
asset_volatility,-0.10251481067783023,0.016524765554698312,-6.203707419539352,5.514827178155386e-10,-0.13490275601800697,-0.0701268653376535
