trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,coherence_loss_weight,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,0,2019-08-01,0.27482650426626415,0.0030166556278855084,0.456420606060606,0.9003200000000001,1.322409160036273
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,1,2019-08-14,0.26018089149841706,0.03191970431544193,0.43248026671428047,0.9033290653008963,1.358759315007639
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,2,2019-08-27,0.2772732409774399,0.01303516980893898,0.44708703480888307,0.8895348837209303,1.345385288124909
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,3,2019-09-09,0.2728278124423923,0.005489412851018341,0.4459981158455285,0.8858813700918965,1.3450689394914181
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,4,2019-09-20,0.29995272701917614,-0.03558822939249282,0.46609469988223023,0.8902391725921138,1.3425044261194334
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,5,2019-10-03,0.33649332996065173,-0.1093608145481404,0.5055377709311991,0.886085544125609,1.3421925260559004
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,6,2019-10-16,0.3581110691023927,-0.0954430925577763,0.5161295112527904,0.8869249394673123,1.3416591518017922
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,7,2019-10-29,0.3724661567607581,-0.0912685844559805,0.5342265931686635,0.8910132966529115,1.3530616427457052
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,8,2019-11-11,0.3843581553077523,-0.0804457210962727,0.5427473261754118,0.8841777777777778,1.3309740871063225
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,9,2019-11-22,0.3882133789616288,-0.09360657149215518,0.5388346275426911,0.8876473155827149,1.3428693467191872
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,10,2019-12-05,0.3973069445473283,-0.0933973054751628,0.546907872121868,0.8845177664974619,1.3319469424380797
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,11,2019-12-18,0.40162936295964297,-0.07904658815504667,0.5494291611689103,0.8868496517820567,1.3411719043162842
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,12,2020-01-01,0.41013565200332497,-0.08147925155101245,0.5538301148505935,0.8874297188755019,1.3424865261365813
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,13,2020-01-14,0.4047594751505852,-0.08066269253596813,0.5511190722711571,0.8872683319903303,1.3439030289552134
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,14,2020-01-27,0.41638347274230786,-0.08627831452787434,0.563901041931859,0.8952860596293312,1.3629020672795003
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,15,2020-02-07,0.4208043461585088,-0.07907021800565443,0.5773838141918037,0.897827903091061,1.358478273874374
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,16,2020-02-20,0.429125516526283,-0.08857519917022708,0.5851843009922039,0.892670381483069,1.3465378398041623
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,17,2020-03-04,0.43736111453224613,-0.05158362911458325,0.5966242592662897,0.901679104477612,1.3772168854208398
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,18,2020-03-17,0.4405456472177401,0.046830834206440186,0.5951823436019759,0.9034733022291342,1.379031693830498
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,19,2020-03-30,0.42668183459445064,0.019213151990574714,0.5777773976972779,0.9031284916201117,1.3690875485933385
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,20,2020-04-10,0.40007340800896424,0.0116398132323457,0.5573921076783471,0.9123809523809524,1.3892343951030615
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,21,2020-04-23,0.3875322931278107,0.000730443820403782,0.5468279533240163,0.9110236220472441,1.379047629276351
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,22,2020-05-06,0.39348545514512484,0.007321120380793351,0.5567317231068089,0.9201117318435754,1.4057239705926245
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,23,2020-05-19,0.3760872981179627,-0.01583103109792517,0.5515852045282424,0.9162658227848102,1.39878413609176
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,24,2020-06-01,0.34693526542045655,-0.004641729547856307,0.520321056296666,0.913381674357284,1.3896669929039756
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,25,2020-06-12,0.3396716295881005,0.011817997260435696,0.5201141457011911,0.9072151045178692,1.3603321696044306
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,26,2020-06-25,0.3500534097410656,0.03175952217084313,0.5249733989736205,0.917263025737602,1.3768782544911247
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,27,2020-07-08,0.352609999977078,0.040156874896587216,0.5242315280810819,0.9178211959739491,1.3822822693069208
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,28,2020-07-21,0.35726961061142787,0.044848477002948216,0.526648446263925,0.9174729652817302,1.3829552132173155
