embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,average_ndcg,average_roi
64,3,0.001,1e-05,0.6,50,0.3891439297369848,-0.04366898376429742
128,3,0.001,1e-05,0.6,50,0.3751118119094509,-0.04388978108080207
64,3,0.001,1e-05,1.0,50,0.37637058305902377,-0.04319039705757064
128,3,0.001,1e-05,1.0,50,0.3811921416742017,-0.04409685037729938
64,3,0.01,1e-05,0.6,50,0.347277898123964,-0.041054808065480335
128,3,0.01,1e-05,0.6,50,0.346718111632578,-0.04121202974599195
64,3,0.01,1e-05,1.0,50,0.35973852654468147,-0.041539963411837404
128,3,0.01,1e-05,1.0,50,0.3574514689454878,-0.04075890364680567
64,4,0.001,1e-05,0.6,50,0.38834389500702676,-0.04248482266369625
128,4,0.001,1e-05,0.6,50,0.3845712405957296,-0.04363328113793014
64,4,0.001,1e-05,1.0,50,0.36793440325075527,-0.042912517124556716
128,4,0.001,1e-05,1.0,50,0.37109318550148007,-0.04331905056695337
64,4,0.01,1e-05,0.6,50,0.3361860041517672,-0.04061915811703758
128,4,0.01,1e-05,0.6,50,0.34891776746979475,-0.039949545922536835
64,4,0.01,1e-05,1.0,50,0.3426888133811823,-0.04039158412140336
128,4,0.01,1e-05,1.0,50,0.35341531842139423,-0.03935502155044996
64,3,0.001,0.0001,0.6,50,0.3891605617885123,-0.04306323188678681
128,3,0.001,0.0001,0.6,50,0.38177827651305424,-0.04279909454677905
64,3,0.001,0.0001,1.0,50,0.3825330872299066,-0.04274498091612788
128,3,0.001,0.0001,1.0,50,0.3814459340451311,-0.04294593878386088
64,3,0.01,0.0001,0.6,50,0.3470975799130091,-0.040909625708970415
128,3,0.01,0.0001,0.6,50,0.35185259293124416,-0.04177332501643003
64,3,0.01,0.0001,1.0,50,0.3588726789655969,-0.04065884623512926
128,3,0.01,0.0001,1.0,50,0.36662410739229706,-0.04191421591665619
64,4,0.001,0.0001,0.6,50,0.38532062407327455,-0.04445523231088381
128,4,0.001,0.0001,0.6,50,0.37580237313992243,-0.04333760030216847
64,4,0.001,0.0001,1.0,50,0.37350259860821233,-0.0439428681473917
128,4,0.001,0.0001,1.0,50,0.3713756226774289,-0.04295544799903556
64,4,0.01,0.0001,0.6,50,0.344257005655004,-0.04168141460367284
128,4,0.01,0.0001,0.6,50,0.3477298607034809,-0.03956515807978007
64,4,0.01,0.0001,1.0,50,0.3532398841958628,-0.04319776277575075
128,4,0.01,0.0001,1.0,50,0.35928563937939906,-0.04095734482327734
